Year, , "Exploding Bacon", "12 Volt Bolt", "HIGHROLLERS"
2002, , 0.0, 0.0, 0.0
2003, , 0.0, 0.0, 0.0
2004, , 0.0, 0.0, 0.0
2005, , 0.0, 0.0, 0.0
2006, , 0.0, 0.0, 0.0
2007, , 0.0, 0.0, 0.0
2008, , 0.0, 0.0, 4.0
2009, , 0.0, 4.0, 7.0
2010, , 4.0, 3.0, 5.5
2011, , 3.0, 1.5, 2.75
2012, , 3.0, 1.25, 1.25
2013, , 6.75, 0.0, 4.0
2014, , 6.0, 0.0, 4.5
2015, , 9.5, 0.0, 8.0
2016, , 10.75, 0.0, 10.75
